algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
SPEA2,45 18 35 93 23 85,MAKARNA SALATASI | ELMA SUYU | KAYISI SUYU | YOĞURT B | HAŞLANMIŞ YUMURTA | TAVADA YUMURTA,170.0,300.0,True,216.9288,8,False,2000.0,2400.0,True,2020.359,user1_spea2_nodiversity,20.0,9999.0,True,22.5375,10,0,185 126 368 302,ETSİZ KEREVİZ | BROKOLİ SALATASI LD | TAS KEBABI | MUZ,28.5,21.3,38.7,281.0,0.0,40.0,100.0,True,88.3138,12,1500.0,2300.0,True,1723.912,1,user_gamma_3991,False,0
SPEA2,45 18 35 93 23 85,MAKARNA SALATASI | ELMA SUYU | KAYISI SUYU | YOĞURT B | HAŞLANMIŞ YUMURTA | TAVADA YUMURTA,170.0,300.0,True,216.9288,8,False,2000.0,2400.0,True,2020.359,user1_spea2_nodiversity,20.0,9999.0,True,22.5375,10,0,185 126 368 302,ETSİZ KEREVİZ | BROKOLİ SALATASI LD | TAS KEBABI | MUZ,28.5,21.3,38.7,281.0,0.0,40.0,100.0,True,88.3138,13,1500.0,2300.0,True,1723.912,1,user_gamma_3991,False,0
SPEA2,25 39 29 44 31,HAVUÇ SUYU | KREP | INCİR REÇELİ | LOR PEYNİRİ | ISPANAKLI KOL BÖREĞİ,170.0,300.0,True,249.2262,9,False,2000.0,2400.0,True,2278.096,user1_spea2_nodiversity,20.0,9999.0,True,38.7183,9,0,196 285 172 258,ETSİZ TÜRLÜ | MALTA ERİĞİ | ETSİZ BARBUNYA | KIYMALI KABAK DOLMASI,34.0,21.67,46.2,440.0,0.0,40.0,100.0,True,67.108,14,1500.0,2300.0,True,1702.717,1,user_gamma_3991,False,0
SPEA2,34 81 52 3 74 93,KARNABAHAR SALATASI | ŞEFTALİ SUYU | ÖRGÜ PEYNİRİ | AYVA REÇELİ | SEMİZOTU SALATASI | YOĞURT B,170.0,300.0,True,243.8092,8,False,2000.0,2400.0,True,2046.8322,user1_spea2_nodiversity,20.0,9999.0,True,26.6727,10,0,250 218 188 394,KAVUN | HAZIR PAKETLİ SÜTLÜ TATLI-FINDIKLI KREM ŞOKOLA | ETSİZ NOHUT | YOĞURTLU PAZI,38.9,21.51,36.1,145.0,0.0,40.0,100.0,True,70.3527,15,1500.0,2300.0,True,1614.4517,1,user_gamma_3991,False,0
SPEA2,34 81 52 3 74 93,KARNABAHAR SALATASI | ŞEFTALİ SUYU | ÖRGÜ PEYNİRİ | AYVA REÇELİ | SEMİZOTU SALATASI | YOĞURT B,170.0,300.0,True,243.8092,8,False,2000.0,2400.0,True,2046.8322,user1_spea2_nodiversity,20.0,9999.0,True,26.6727,10,0,250 218 188 394,KAVUN | HAZIR PAKETLİ SÜTLÜ TATLI-FINDIKLI KREM ŞOKOLA | ETSİZ NOHUT | YOĞURTLU PAZI,38.9,21.51,36.1,145.0,0.0,40.0,100.0,True,70.3527,16,1500.0,2300.0,True,1614.4517,1,user_gamma_3991,False,0
SPEA2,34 81 52 3 74 93,KARNABAHAR SALATASI | ŞEFTALİ SUYU | ÖRGÜ PEYNİRİ | AYVA REÇELİ | SEMİZOTU SALATASI | YOĞURT B,170.0,300.0,True,243.8092,8,False,2000.0,2400.0,True,2046.8322,user1_spea2_nodiversity,20.0,9999.0,True,26.6727,10,0,250 218 188 394,KAVUN | HAZIR PAKETLİ SÜTLÜ TATLI-FINDIKLI KREM ŞOKOLA | ETSİZ NOHUT | YOĞURTLU PAZI,38.9,21.51,36.1,145.0,0.0,40.0,100.0,True,70.3527,17,1500.0,2300.0,True,1614.4517,1,user_gamma_3991,False,0
SPEA2,34 81 52 3 74 93,KARNABAHAR SALATASI | ŞEFTALİ SUYU | ÖRGÜ PEYNİRİ | AYVA REÇELİ | SEMİZOTU SALATASI | YOĞURT B,170.0,300.0,True,243.8092,8,False,2000.0,2400.0,True,2046.8322,user1_spea2_nodiversity,20.0,9999.0,True,26.6727,10,0,250 218 188 394,KAVUN | HAZIR PAKETLİ SÜTLÜ TATLI-FINDIKLI KREM ŞOKOLA | ETSİZ NOHUT | YOĞURTLU PAZI,38.9,21.51,36.1,145.0,0.0,40.0,100.0,True,70.3527,18,1500.0,2300.0,True,1614.4517,1,user_gamma_3991,False,0
SPEA2,34 81 52 3 74 93,KARNABAHAR SALATASI | ŞEFTALİ SUYU | ÖRGÜ PEYNİRİ | AYVA REÇELİ | SEMİZOTU SALATASI | YOĞURT B,170.0,300.0,True,243.8092,8,False,2000.0,2400.0,True,2046.8322,user1_spea2_nodiversity,20.0,9999.0,True,26.6727,10,0,250 218 188 394,KAVUN | HAZIR PAKETLİ SÜTLÜ TATLI-FINDIKLI KREM ŞOKOLA | ETSİZ NOHUT | YOĞURTLU PAZI,38.9,21.51,36.1,145.0,0.0,40.0,100.0,True,70.3527,19,1500.0,2300.0,True,1614.4517,1,user_gamma_3991,False,0
SPEA2,45 18 35 93 23 85,MAKARNA SALATASI | ELMA SUYU | KAYISI SUYU | YOĞURT B | HAŞLANMIŞ YUMURTA | TAVADA YUMURTA,170.0,300.0,True,216.9288,8,False,2000.0,2400.0,True,2020.359,user1_spea2_nodiversity,20.0,9999.0,True,22.5375,10,0,185 126 368 302,ETSİZ KEREVİZ | BROKOLİ SALATASI LD | TAS KEBABI | MUZ,28.5,21.3,38.7,281.0,0.0,40.0,100.0,True,88.3138,20,1500.0,2300.0,True,1723.912,1,user_gamma_3991,False,0
NSGA-II,11 86 28 56,ÇİKOLATALI YULAF GEVREĞİ | ÜZÜM PEKMEZİ | HİNDİ SALAMI | PATATES SALATASI,170.0,300.0,True,176.1182,5,True,2000.0,2400.0,True,2338.5773,user1_nsgaii_diversity,20.0,9999.0,True,27.9664,6,0,306 258,ORMAN  KEBABI | KIYMALI KABAK DOLMASI,32.3,17.03,31.4,233.0,0.055917,40.0,100.0,False,101.1834,1,1500.0,2300.0,True,1567.326,1,user_gamma_3991,False,1
